,ids,bday,enrolldate,expgradate,Rank,Major,Gender,Athlete,Height,Weight,Smoking,Sprint,MileMinDur,English,Reading,Math,Writing,State,LiveOnCampus,HowCommute,CommuteTime,SleepTime,StudyTime
293,37328,6/8/1993,6-Aug-2012,14-May-2018,Junior,jhlksjhreksh,Male,1,68.03176470588237,216.02,2.0,5.867,0:06:47,88.57,83.81,63.18,75.69,In state,0.0,3.0,30.0,5.0,9.0
295,37881,5/30/1993,6-Aug-2012,08-May-2017,Junior,Unknown,Female,0,77.33,202.67,0.0,7.394,0:10:44,82.78755501222494,80.21,63.59,86.54,Out of state,0.0,3.0,23.0,6.0,5.0
297,39033,5/17/1993,6-Aug-2012,08-May-2017,Junior,biology,Female,1,67.69,164.02,0.0,5.791,,80.97,70.75,60.08,76.89,Out of state,0.0,3.0,28.0,7.0,9.0
298,39816,5/7/1993,6-Aug-2012,14-May-2018,Junior,Unknown,Female,0,63.96,185.01,3.0,8.274,0:09:56,78.85,85.44,62.8,76.39,Out of state,0.0,3.0,26.0,1.0,14.0
299,40662,4/29/1993,6-Aug-2012,14-May-2018,Junior,English with minor in spanish,Male,1,76.12,220.77,2.0,5.671,0:07:42,81.41,74.4,65.1,76.24,Out of state,0.0,3.0,25.0,4.0,4.0
301,42216,4/9/1993,6-Aug-2012,08-May-2017,Junior,nursing,Male,0,69.66,148.39,1.0,7.767,0:08:26,87.73,80.76,54.12,71.37,Out of state,0.0,3.0,25.0,2.0,4.0
304,48033,1/26/1993,6-Aug-2012,08-May-2017,Junior,Unknown,Female,1,68.84,175.69,0.0,4.621,0:07:11,83.89,75.34,53.49,72.11,In state,0.0,1.0,11.0,5.0,
305,20243,1/2/1993,6-Aug-2012,08-May-2017,Junior,spanish,Female,0,65.99,128.4,1.0,8.097,0:12:31,81.96,82.52,64.05,81.58,In state,0.0,3.0,21.0,3.0,7.0
308,22938,11/30/1992,6-Aug-2012,14-May-2018,Junior,mechanical engineering,Male,0,73.84,261.08,0.0,6.43,,75.56,82.0708,57.61,79.52168316831683,Out of state,0.0,3.0,23.0,3.0,9.0
309,23514,11/22/1992,6-Aug-2012,08-May-2017,Junior,religious studies,Female,0,68.03176470588237,115.19,2.0,8.314,0:10:43,87.76,80.41,46.68,83.13,Out of state,0.0,3.0,32.0,0.0,4.0
310,25866,10/25/1992,6-Aug-2012,08-May-2017,Junior,Geography,Female,1,67.29,158.08,0.0,6.212,0:07:01,77.78,85.61,65.15,76.63,In state,0.0,3.0,27.0,5.0,10.0
313,27177,10/9/1992,6-Aug-2012,08-May-2017,Junior,Unknown,Female,1,64.14,181.03156914893617,0.0,5.974,0:06:42,88.15,73.14,46.66,85.12,In state,0.0,3.0,22.0,7.0,10.0
314,27638,10/4/1992,6-Aug-2012,14-May-2018,Junior,graphic design,Male,0,69.99,291.73,0.0,7.46,,82.78755501222494,69.84,60.41,86.99,Out of state,0.0,1.0,16.0,5.0,5.0
318,30337,8/31/1992,6-Aug-2012,08-May-2017,Junior,Unknown,Female,1,64.95,150.39,0.0,5.619,0:07:40,81.75,81.38,56.27,82.77,In state,0.0,3.0,27.0,4.0,8.0
321,36009,6/25/1992,6-Aug-2012,08-May-2017,Junior,English - Creative writing,Male,0,71.97,205.43,0.0,7.954,,84.25,84.65,60.12,83.74,In state,0.0,2.0,12.0,5.0,14.0
322,38020,5/29/1992,6-Aug-2012,14-May-2018,Junior,creative writing,Female,0,62.43,171.13,1.0,7.17,0:08:57,86.2,79.24,59.85,75.76,,0.0,1.0,15.0,3.0,11.0
323,39181,5/17/1992,6-Aug-2012,08-May-2017,Junior,Unknown,Male,0,68.03176470588237,216.33,2.0,8.892,0:10:28,88.44,72.81,62.49,79.9,In state,0.0,1.0,18.0,2.0,6.0
329,45788,2/24/1992,6-Aug-2012,14-May-2018,Junior,Public Relations,Female,1,68.03176470588237,165.64,0.0,5.772,0:05:18,83.46,87.08,64.73,85.32,In state,0.0,3.0,25.0,6.0,5.0
333,48702,1/22/1992,6-Aug-2012,14-May-2018,Junior,Unknown,Male,0,62.46,155.3,2.0,7.853,0:08:13,84.65,68.73,55.84,73.04,Out of state,0.0,3.0,32.0,7.0,4.0
334,48976,1/19/1992,6-Aug-2012,14-May-2018,Junior,Unknown,Male,1,73.51,174.89,2.0,5.845,0:07:15,85.37,71.2,58.1,77.72,In state,0.0,3.0,20.0,4.0,8.0
335,49137,1/17/1992,6-Aug-2012,14-May-2018,Junior,Philosophey,Male,1,65.37,142.54,2.0,5.941,0:06:40,79.81,66.57,60.05,77.09,In state,0.0,1.0,16.0,7.0,9.0
336,49165,1/16/1992,6-Aug-2012,14-May-2018,Junior,Unknown,Unkown,1,66.32,185.9,2.0,5.846,0:07:11,90.18,91.35,61.72,75.24,In state,0.0,3.0,26.0,4.0,9.0
337,49931,1/8/1992,6-Aug-2012,14-May-2018,Junior,Unknown,Male,1,67.55,158.7,0.0,5.14,0:06:01,84.34,82.0708,63.7,75.77,In state,0.0,4.0,62.0,5.0,10.0
338,23871,11/20/1991,6-Aug-2012,14-May-2018,Junior,military history,Male,0,68.03176470588237,297.21,0.0,6.992,0:08:07,100.78,73.73,60.88,83.99,In state,0.0,3.0,22.0,4.0,6.0
340,30329,9/2/1991,6-Aug-2012,14-May-2018,Junior,Unknown,Male,0,67.99,215.85,2.0,6.082,0:06:44,82.28,81.52,65.08,77.4,In state,0.0,3.0,20.0,5.0,14.0
342,35681,6/28/1991,6-Aug-2012,14-May-2018,Junior,Arcitecture,Female,0,60.84,106.97,0.0,7.374,,85.45,82.44,46.14,76.75,In state,0.0,3.0,29.0,9.0,12.0
344,36863,6/13/1991,6-Aug-2012,08-May-2017,Junior,Unknown,Female,1,65.86,154.31,0.0,5.079,0:07:58,89.37,82.52,60.47,79.52168316831683,In state,0.0,3.0,35.0,5.0,9.0
345,49821,5/24/1991,6-Aug-2012,08-May-2017,Junior,Biology (Pre-med),Female,1,68.23,164.31,1.0,5.637,0:07:48,71.93,67.04,62.64,79.52168316831683,Out of state,0.0,3.0,32.0,4.0,
346,41406,4/19/1991,6-Aug-2012,14-May-2018,Junior,spanish and french,Female,0,59.68,181.03156914893617,0.0,7.136,0:09:53,83.86,74.11,61.29,82.26,In state,0.0,2.0,8.0,6.0,9.0
347,46722,2/13/1991,6-Aug-2012,14-May-2018,Junior,physik,Female,1,71.8,152.03,1.0,6.481,0:08:12,97.49,78.84,64.89,88.09,,0.0,3.0,21.0,,10.0
349,21256,12/21/1990,6-Aug-2012,14-May-2018,Junior,Pre-law,Female,0,63.02,201.87,0.0,8.232,0:08:36,77.96,80.23,56.93,77.73,In state,0.0,3.0,22.0,,6.0
350,24904,11/6/1990,6-Aug-2012,14-May-2018,Junior,Unknown,Female,0,58.69,135.69,0.0,7.024,0:07:38,86.8,83.24,64.88,86.69,In state,0.0,3.0,38.0,6.0,8.0
354,30968,8/24/1990,6-Aug-2012,08-May-2017,Junior,Geology,Female,0,71.62,181.03156914893617,0.0,6.989,0:09:13,78.0,81.51,62.14,74.13,In state,0.0,3.0,36.0,3.0,
356,35048,7/5/1990,6-Aug-2012,08-May-2017,Junior,Performing arts,Female,0,72.68,270.29,1.0,,0:09:41,91.35,86.26,58.31,77.66,In state,0.0,3.0,36.0,3.0,11.0
357,36681,6/18/1990,6-Aug-2012,08-May-2017,Junior,Geography,Male,0,61.51,153.93,2.0,6.769,0:06:55,87.6,85.4,60.27,73.29,In state,0.0,1.0,9.0,5.0,9.0
358,38928,5/19/1990,6-Aug-2012,08-May-2017,Junior,Architecture,Female,0,65.76,190.53,1.0,7.285,0:12:39,79.14,69.98,50.42,79.52168316831683,In state,0.0,3.0,34.0,9.0,10.0
361,22652,12/4/1989,6-Aug-2012,14-May-2018,Junior,Unknown,Female,0,68.03176470588237,127.17,0.0,7.226,0:10:28,76.69,70.11,53.54,78.82,In state,0.0,1.0,13.0,3.0,4.0
362,30070,9/5/1989,6-Aug-2012,14-May-2018,Junior,Education - Pre-K,Male,1,74.33,181.03156914893617,3.0,5.772,0:06:34,76.55,81.33,61.31,79.3,In state,0.0,2.0,9.0,9.0,9.0
367,36691,6/17/1988,6-Aug-2012,08-May-2017,Junior,German,Male,0,68.03176470588237,181.03156914893617,0.0,6.924,0:07:56,70.35,75.49,59.63,75.31,In state,1.0,,,8.0,8.0
371,45762,2/24/1992,1-Aug-2011,09-May-2016,Senior,Computer Science,Female,0,66.04,181.03156914893617,2.0,8.62,0:12:17,78.33,85.84,62.68,81.88,In state,0.0,3.0,25.0,4.0,13.0
374,22240,12/9/1991,1-Aug-2011,08-May-2017,Senior,biomed engineering,Female,1,66.35,138.24,0.0,,0:07:17,86.28,88.13,62.92,90.27,Out of state,0.0,3.0,25.0,4.0,13.0
375,23659,11/22/1991,1-Aug-2011,08-May-2017,Senior,Math,Male,0,69.82,274.67,0.0,,0:07:22,83.23,84.39,59.27,75.95,Out of state,0.0,3.0,28.0,3.0,6.0
379,32929,8/1/1991,1-Aug-2011,09-May-2016,Senior,humanities,Male,1,66.63,169.6,0.0,,,82.78755501222494,78.35,55.21,70.56,Out of state,0.0,3.0,30.0,2.0,
381,33348,7/26/1991,1-Aug-2011,08-May-2017,Senior,Unknown,Female,1,66.68,144.26,0.0,6.16,0:06:27,82.61,76.39,53.91,85.18,Out of state,1.0,,,3.0,14.0
382,34469,7/14/1991,1-Aug-2011,08-May-2017,Senior,Spanish,Male,1,73.28,186.9,3.0,5.341,0:07:44,87.01,83.46,61.09,79.6,Out of state,0.0,3.0,32.0,5.0,14.0
383,35684,6/29/1991,1-Aug-2011,08-May-2017,Senior,Unknown,Male,0,68.03176470588237,167.26,0.0,5.595,0:06:14,82.78755501222494,86.65,63.07,71.33,In state,0.0,1.0,10.0,2.0,7.0
384,36404,6/21/1991,1-Aug-2011,08-May-2017,Senior,Gender Studies,Male,0,66.72,190.07,0.0,8.112,0:09:44,82.78755501222494,63.48,63.19,80.27,In state,0.0,,,4.0,
386,40900,4/27/1991,1-Aug-2011,08-May-2017,Senior,don't know yet,Male,1,71.71,200.31,0.0,,,92.22,88.87,63.82,88.8,In state,0.0,3.0,32.0,5.0,11.0
387,41762,4/17/1991,1-Aug-2011,08-May-2017,Senior,Forensic  science,Male,1,65.45,176.93,0.0,5.234,0:06:45,79.18,86.06,63.77,70.28,Out of state,0.0,3.0,28.0,4.0,13.0
391,48238,1/28/1991,1-Aug-2011,08-May-2017,Senior,Unknown,Male,0,67.24,272.58,2.0,5.295,0:08:15,78.9,68.82,62.43,75.59,In state,0.0,1.0,20.0,,12.0
396,26367,10/19/1990,1-Aug-2011,09-May-2016,Senior,Ethnomusicology,Female,0,69.84,174.28,0.0,6.969,0:10:15,77.24,72.75,63.06,84.48,In state,0.0,4.0,59.0,4.0,
398,27209,10/9/1990,1-Aug-2011,08-May-2017,Senior,Unknown,Female,1,66.28,163.19,0.0,6.167,,81.37,72.15,58.36,87.49,In state,0.0,3.0,29.0,3.0,12.0
399,29115,9/17/1990,1-Aug-2011,08-May-2017,Senior,athletic trainer,Male,1,72.49,217.29,0.0,5.55,0:06:20,86.3,92.01,65.03,76.4,In state,0.0,2.0,9.0,5.0,
400,31078,8/23/1990,1-Aug-2011,09-May-2016,Senior,Unknown,Female,0,70.85,151.98,0.0,,0:13:39,82.12,69.32,58.7,84.21,In state,0.0,3.0,28.0,5.0,
401,34362,7/13/1990,1-Aug-2011,09-May-2016,Senior,Unknown,Female,0,62.79,154.95,1.0,7.268,0:10:40,78.07,75.3,60.59,80.5,In state,0.0,3.0,35.0,7.0,15.0
402,34581,7/12/1990,1-Aug-2011,08-May-2017,Senior,nutrition,Male,0,61.53,181.03156914893617,0.0,6.685,0:08:07,89.06,82.0708,64.93,69.07,Out of state,0.0,3.0,30.0,0.0,6.0
403,34591,7/11/1990,1-Aug-2011,09-May-2016,Senior,Comp Sci,Female,0,67.68,155.29,3.0,8.408,0:10:59,79.43,75.91,59.55,78.19,Out of state,0.0,1.0,11.0,7.0,18.0
404,35886,6/27/1990,1-Aug-2011,09-May-2016,Senior,Chemical Engineering,Male,1,74.49,214.03,0.0,4.984,0:06:44,80.02,84.81,64.96,67.97,In state,0.0,3.0,20.0,6.0,10.0
406,39415,5/13/1990,1-Aug-2011,09-May-2016,Senior,Unknown,Female,0,63.11,181.03156914893617,0.0,6.96,0:10:08,83.7,82.0,56.14,84.95,Out of state,0.0,1.0,20.0,5.0,9.0
407,40313,5/3/1990,1-Aug-2011,09-May-2016,Senior,Unknown,Female,1,64.78,168.88,0.0,5.584,0:06:53,81.33,77.14,52.83,81.41,In state,0.0,3.0,29.0,3.0,12.0
411,43676,3/21/1990,1-Aug-2011,08-May-2017,Senior,Unknown,Female,0,68.86,133.01,0.0,7.62,0:11:38,87.0,81.94,47.07,78.77,Out of state,0.0,3.0,37.0,3.0,
414,46439,2/16/1990,1-Aug-2011,09-May-2016,Senior,bachelor of fine arts in theater,Female,0,63.25,191.19,0.0,6.9,0:09:17,84.35,74.53,55.72,86.93,In state,0.0,1.0,9.0,6.0,13.0
415,48958,1/17/1990,1-Aug-2011,09-May-2016,Senior,Fein Arts,Female,1,66.14,158.98,2.0,7.079,0:07:58,85.75,77.39,44.7,80.65,In state,0.0,3.0,31.0,8.0,7.0
416,49572,1/9/1990,1-Aug-2011,09-May-2016,Senior,Sport Medicine,Female,0,60.68,122.24,2.0,7.747,0:09:05,75.69,78.1,47.1,79.72,In state,0.0,3.0,31.0,7.0,7.0
418,23037,11/29/1989,1-Aug-2011,08-May-2017,Senior,Speech Pathology and Audiology,Female,0,63.61,191.16,2.0,6.587,0:09:01,82.78755501222494,64.68,64.67,84.71,Out of state,0.0,3.0,32.0,4.0,4.0
420,24362,11/13/1989,1-Aug-2011,09-May-2016,Senior,Unknown,Female,0,71.35,212.08,0.0,7.559,0:09:04,79.1,88.78,62.85,76.6,In state,0.0,3.0,22.0,6.0,8.0
423,32380,8/8/1989,1-Aug-2011,08-May-2017,Senior,I haven't picked one yet,Male,0,69.67,189.78,2.0,8.527,0:07:45,82.78755501222494,73.03,65.42,86.18,In state,0.0,3.0,27.0,,16.0
426,39413,5/12/1989,1-Aug-2011,08-May-2017,Senior,Unknown,Female,1,67.42,181.03156914893617,0.0,4.927,0:05:35,89.35,71.08,59.71,77.94,In state,0.0,3.0,32.0,,
427,45256,3/3/1989,1-Aug-2011,09-May-2016,Senior,Interior design,Female,1,68.03176470588237,174.82,2.0,6.486,0:07:11,84.96,90.88,59.03,79.53,In state,,3.0,31.0,7.0,
428,48529,1/21/1989,1-Aug-2011,08-May-2017,Senior,Science,Female,0,67.31,154.31,0.0,7.819,0:11:35,84.16,80.63,64.3,83.45,Out of state,0.0,3.0,27.0,0.0,
430,34021,7/18/1987,1-Aug-2011,08-May-2017,Senior,accounting,Female,0,68.03176470588237,181.03156914893617,0.0,,0:12:55,87.72,84.99,65.31,79.52168316831683,In state,0.0,1.0,18.0,1.0,10.0
432,34272,,1-Aug-2011,09-May-2016,Senior,nursing,Male,1,68.1,130.07,0.0,,,81.05,85.76,58.16,81.87,,0.0,3.0,29.0,6.0,10.0
434,39298,,1-Aug-2011,08-May-2017,Senior,Unknown,Female,1,66.68,152.33,1.0,6.233,0:07:13,75.65,77.24,60.24,75.23,In state,0.0,3.0,27.0,2.0,10.0
